Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48595;26/07/2024;4360;--> ALGERIENNE;
48595;26/07/2024;3589;TACOS SAUCISSE;
48595;26/07/2024;2376;--> TACOS;
48595;26/07/2024;5485;--> SHEEZY;
48595;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48595;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48596;26/07/2024;1174;TACOS MIXTE;
48596;26/07/2024;2376;--> TACOS;
48596;26/07/2024;10000;--> BIGGY;
48597;26/07/2024;6316;SAND SAUCISSE;
48597;26/07/2024;1937;FRITE;
48597;26/07/2024;5486;SAND POULET;
48597;26/07/2024;CODE_COMM;--> glo;
48598;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48598;26/07/2024;4;VIANDE HACHEE;
48599;26/07/2024;3740;RIZ;
48599;26/07/2024;3740;RIZ;
48600;26/07/2024;612;SHAWARMA;
48601;26/07/2024;14;FAUX FILET;
48602;26/07/2024;70227;SANDWICH VIANDE HACHEE;
48603;26/07/2024;55;STEAK HACHEE NATURE;
48604;26/07/2024;175;COUT GRILLADE;
48604;26/07/2024;4;VIANDE HACHEE;
48604;26/07/2024;100;CERVELLE AGN;
48604;26/07/2024;3;SAUCISSE BF;
48604;26/07/2024;CODE_COMM;--> GR N° 11;
48604;26/07/2024;7798;THE MOYEN;
48604;26/07/2024;CODE_COMM;--> SOKARE BRA;
48605;26/07/2024;615;SAUCIISE DE PLT;
48606;26/07/2024;4;VIANDE HACHEE;
48607;26/07/2024;70221;SANDWICH POULET;
48607;26/07/2024;70223;SANDWICH SAUCISSE;
48607;26/07/2024;70240;FRITE;
48608;26/07/2024;5648;SODA 25CL/EAU GAZEUSSE;
48609;26/07/2024;3;SAUCISSE BF;
48609;26/07/2024;601;FILET DE POULET NATURE;
48610;26/07/2024;5617;TACOS POULET;
48610;26/07/2024;2376;--> TACOS;
48610;26/07/2024;10000;--> BIGGY;
48611;26/07/2024;15;EPAULE DE BF;
48611;26/07/2024;4;VIANDE HACHEE;
48611;26/07/2024;14;FAUX FILET;
48612;26/07/2024;9053;TACOS VIANDE HACHEE;
48612;26/07/2024;2376;--> TACOS;
48612;26/07/2024;4360;--> ALGERIENNE;
48612;26/07/2024;10000;--> BIGGY;
48613;26/07/2024;505;JAMBON FUME;
48614;26/07/2024;4;VIANDE HACHEE;
48614;26/07/2024;3;SAUCISSE BF;
48615;26/07/2024;70221;SANDWICH POULET;
48615;26/07/2024;CODE_COMM;--> ss laitue;
48616;26/07/2024;612;SHAWARMA;
48617;26/07/2024;70240;FRITE;
48618;26/07/2024;612;SHAWARMA;
48619;26/07/2024;5617;TACOS POULET;
48619;26/07/2024;2376;--> TACOS;
48619;26/07/2024;10000;--> BIGGY;
48620;26/07/2024;175;COUT GRILLADE;
48620;26/07/2024;608;PASTELLE/ROULEAUX PLT;
48620;26/07/2024;605;PILON PLT MARINEE;
48620;26/07/2024;CODE_COMM;--> GR N° 10;
48620;26/07/2024;8857;THE;
48620;26/07/2024;CODE_COMM;--> SS SUCRE;
48620;26/07/2024;3740;RIZ;
48621;26/07/2024;5748;L FAMILA;
48622;26/07/2024;1174;TACOS MIXTE;
48622;26/07/2024;2376;--> TACOS;
48622;26/07/2024;4360;--> ALGERIENNE;
48622;26/07/2024;70240;FRITE;
48623;26/07/2024;3589;TACOS SAUCISSE;
48623;26/07/2024;2376;--> TACOS;
48623;26/07/2024;4360;--> ALGERIENNE;
48624;26/07/2024;612;SHAWARMA;
48625;26/07/2024;3;SAUCISSE BF;
48625;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48626;26/07/2024;4;VIANDE HACHEE;
48627;26/07/2024;33;EPAULE AGN;
48628;26/07/2024;70221;SANDWICH POULET;
48629;26/07/2024;626;FOIE DE POULET;
48630;26/07/2024;9053;TACOS VIANDE HACHEE;
48630;26/07/2024;2376;--> TACOS;
48630;26/07/2024;4360;--> ALGERIENNE;
48631;26/07/2024;5617;TACOS POULET;
48631;26/07/2024;2376;--> TACOS;
48631;26/07/2024;10000;--> BIGGY;
48631;26/07/2024;70240;FRITE;
48632;26/07/2024;1174;TACOS MIXTE;
48632;26/07/2024;2376;--> TACOS;
48632;26/07/2024;10000;--> BIGGY;
48632;26/07/2024;70240;FRITE;
48633;26/07/2024;15;EPAULE DE BF;
